solution,shape,min_value,max_value,mean_value,std_value,median_value
basic,"(30789, 2)",17.275680746753263,905.2949999999998,42.80133191512827,28.71016376484354,31.53783427202564
deep_learning,"(30789, 2)",22.431158,439.96307,35.15389653528858,20.409103744931826,27.603964
time_series,"(30789, 2)",11.780000000000005,732.376100000001,41.968790076817605,31.71063177482282,35.03341380952379
ensemble,"(30789, 2)",22.2574968316077,457.897606,39.4925952116992,22.25352970637308,32.30140164589341
